;ind;date;temperature_synop;temperature_meteociel;annee;mois;jour;heure;difference_temperature
2020-03-01 02:00:00;0;2020/03/01;10.5;9.8;2020;3;1;2;-0.6999999999999993
2020-03-01 03:00:00;1;2020/03/01;10.23333333333335;9.2;2020;3;1;3;-1.033333333333351
2020-03-01 04:00:00;2;2020/03/01;9.966666666666697;9.2;2020;3;1;4;-0.7666666666666977
2020-03-01 05:00:00;3;2020/03/01;9.700000000000045;8.8;2020;3;1;5;-0.9000000000000448
2020-03-01 06:00:00;4;2020/03/01;9.333333333333371;8.6;2020;3;1;6;-0.7333333333333716
2020-03-01 07:00:00;5;2020/03/01;8.966666666666697;7.8;2020;3;1;7;-1.1666666666666972
2020-03-01 08:00:00;6;2020/03/01;8.600000000000023;6.7;2020;3;1;8;-1.9000000000000226
2020-03-01 09:00:00;7;2020/03/01;9.50000000000002;8;2020;3;1;9;-1.5000000000000195
2020-03-01 10:00:00;8;2020/03/01;10.40000000000001;11;2020;3;1;10;0.5999999999999908
2020-03-01 11:00:00;9;2020/03/01;11.30000000000001;12.7;2020;3;1;11;1.3999999999999897
2020-03-01 12:00:00;10;2020/03/01;12.00000000000002;12.9;2020;3;1;12;0.8999999999999808
2020-03-01 13:00:00;11;2020/03/01;12.70000000000003;13.9;2020;3;1;13;1.1999999999999709
2020-03-01 14:00:00;12;2020/03/01;13.40000000000003;14.3;2020;3;1;14;0.8999999999999702
2020-03-01 15:00:00;13;2020/03/01;12.93333333333336;13;2020;3;1;15;0.06666666666663978
2020-03-01 16:00:00;14;2020/03/01;12.46666666666668;11.7;2020;3;1;16;-0.7666666666666799
2020-03-01 17:00:00;15;2020/03/01;12.0;11.6;2020;3;1;17;-0.40000000000000036
2020-03-01 18:00:00;16;2020/03/01;11.66666666666667;11;2020;3;1;18;-0.6666666666666696
2020-03-01 19:00:00;17;2020/03/01;11.33333333333333;10.2;2020;3;1;19;-1.133333333333331
2020-03-01 20:00:00;18;2020/03/01;11.0;9.2;2020;3;1;20;-1.8000000000000007
2020-03-01 21:00:00;19;2020/03/01;10.40000000000001;7.5;2020;3;1;21;-2.9000000000000092
2020-03-01 22:00:00;20;2020/03/01;9.800000000000031;6.6;2020;3;1;22;-3.2000000000000313
2020-03-01 23:00:00;21;2020/03/01;9.200000000000045;8.6;2020;3;1;23;-0.6000000000000458
2020-03-02 00:00:00;22;2020/03/02;8.633333333333363;7.9;2020;3;1;16;-0.7333333333333627
2020-03-02 01:00:00;23;2020/03/02;8.066666666666682;8;2020;3;1;9;-0.06666666666668242
2020-03-02 02:00:00;24;2020/03/02;7.5;8.7;2020;3;2;2;1.1999999999999993
2020-03-02 03:00:00;25;2020/03/02;7.700000000000007;8.7;2020;3;2;3;0.999999999999992
2020-03-02 04:00:00;26;2020/03/02;7.900000000000015;8.8;2020;3;2;4;0.8999999999999861
2020-03-02 05:00:00;27;2020/03/02;8.100000000000023;9;2020;3;2;5;0.8999999999999773
2020-03-02 06:00:00;28;2020/03/02;7.966666666666697;9.4;2020;3;2;6;1.4333333333333034
2020-03-02 07:00:00;29;2020/03/02;7.833333333333371;9;2020;3;2;7;1.1666666666666288
2020-03-02 08:00:00;30;2020/03/02;7.700000000000045;8.4;2020;3;2;8;0.6999999999999558
2020-03-02 09:00:00;31;2020/03/02;8.100000000000042;8.8;2020;3;2;9;0.6999999999999584
2020-03-02 10:00:00;32;2020/03/02;8.500000000000037;9.3;2020;3;2;10;0.7999999999999634
2020-03-02 11:00:00;33;2020/03/02;8.900000000000034;9.7;2020;3;2;11;0.7999999999999652
2020-03-02 12:00:00;34;2020/03/02;9.100000000000023;10.1;2020;3;2;12;0.9999999999999769
2020-03-02 13:00:00;35;2020/03/02;9.300000000000011;10.1;2020;3;2;13;0.7999999999999883
2020-03-02 14:00:00;36;2020/03/02;9.5;11.3;2020;3;2;14;1.8000000000000007
2020-03-02 15:00:00;37;2020/03/02;8.966666666666677;10.8;2020;3;2;15;1.8333333333333233
2020-03-02 16:00:00;38;2020/03/02;8.433333333333357;10.4;2020;3;2;16;1.9666666666666437
2020-03-02 17:00:00;39;2020/03/02;7.900000000000034;10.1;2020;3;2;17;2.1999999999999655
2020-03-02 18:00:00;40;2020/03/02;7.866666666666693;8.9;2020;3;2;18;1.0333333333333075
2020-03-02 19:00:00;41;2020/03/02;7.833333333333353;9.2;2020;3;2;19;1.3666666666666467
2020-03-02 20:00:00;42;2020/03/02;7.800000000000011;7.9;2020;3;2;20;0.09999999999998899
2020-03-02 21:00:00;43;2020/03/02;7.500000000000019;8;2020;3;2;21;0.49999999999998135
2020-03-02 22:00:00;44;2020/03/02;7.200000000000027;7.5;2020;3;2;22;0.2999999999999732
2020-03-02 23:00:00;45;2020/03/02;6.900000000000034;7.8;2020;3;2;23;0.8999999999999657
2020-03-03 00:00:00;46;2020/03/03;6.53333333333336;7.9;2020;3;2;16;1.3666666666666405
2020-03-03 01:00:00;47;2020/03/03;6.166666666666686;7.1;2020;3;2;9;0.933333333333314
2020-03-03 02:00:00;48;2020/03/03;5.800000000000011;6.2;2020;3;3;2;0.3999999999999888
2020-03-03 03:00:00;49;2020/03/03;5.600000000000023;5.8;2020;3;3;3;0.19999999999997708
2020-03-03 04:00:00;50;2020/03/03;5.400000000000034;6;2020;3;3;4;0.5999999999999659
2020-03-03 05:00:00;51;2020/03/03;5.200000000000045;5.4;2020;3;3;5;0.19999999999995577
2020-03-03 06:00:00;52;2020/03/03;4.633333333333364;4.5;2020;3;3;6;-0.13333333333336395
2020-03-03 07:00:00;53;2020/03/03;4.066666666666682;4.2;2020;3;3;7;0.13333333333331776
2020-03-03 08:00:00;54;2020/03/03;3.5;4;2020;3;3;8;0.5
2020-03-03 09:00:00;55;2020/03/03;4.200000000000007;5;2020;3;3;9;0.7999999999999927
2020-03-03 10:00:00;56;2020/03/03;4.900000000000015;7.1;2020;3;3;10;2.199999999999985
2020-03-03 11:00:00;57;2020/03/03;5.600000000000023;8.8;2020;3;3;11;3.199999999999978
2020-03-03 12:00:00;58;2020/03/03;6.600000000000023;9.5;2020;3;3;12;2.8999999999999773
2020-03-03 13:00:00;59;2020/03/03;7.600000000000023;9.2;2020;3;3;13;1.5999999999999766
2020-03-03 14:00:00;60;2020/03/03;8.600000000000023;9.4;2020;3;3;14;0.7999999999999776
2020-03-03 15:00:00;61;2020/03/03;9.00000000000002;9.6;2020;3;3;15;0.5999999999999801
2020-03-03 16:00:00;62;2020/03/03;9.400000000000015;9.1;2020;3;3;16;-0.3000000000000149
2020-03-03 17:00:00;63;2020/03/03;9.800000000000011;9.5;2020;3;3;17;-0.30000000000001137
2020-03-03 19:00:00;64;2020/03/03;8.333333333333352;8.4;2020;3;3;19;0.06666666666664867
2020-03-03 20:00:00;65;2020/03/03;7.600000000000023;7.6;2020;3;3;20;-2.3092638912203256e-14
2020-03-03 21:00:00;66;2020/03/03;7.100000000000023;7.3;2020;3;3;21;0.19999999999997708
2020-03-03 22:00:00;67;2020/03/03;6.600000000000023;7.5;2020;3;3;22;0.8999999999999773
2020-03-03 23:00:00;68;2020/03/03;6.100000000000023;7.6;2020;3;3;23;1.499999999999977
